Date,Page.Loads,Unique.Visits,First.Time.Visits,Returning.Visits
2014-9-14,2146,1582,1430,152
2014-9-15,3621,2528,2297,231
2014-9-16,3698,2630,2352,278
2014-9-17,3667,2614,2327,287
2014-9-18,3316,2366,2130,236
2014-9-19,2815,1863,1622,241
2014-9-20,1658,1118,985,133
2014-9-21,2288,1656,1481,175
2014-9-22,3638,2586,2312,274
2014-9-23,4462,3257,2989,268
2014-9-24,4414,3175,2891,284
2014-9-25,4315,3029,2743,286
2014-9-26,3323,2249,2033,216
2014-9-27,1656,1180,1040,140
2014-9-28,2465,1806,1613,193
2014-9-29,4096,2873,2577,296
2014-9-30,4474,3032,2720,312
2014-10-1,4124,2849,2541,308
2014-10-2,3514,2489,2239,250
2014-10-3,3005,2097,1856,241
